Digi-Key, 609-2845-ND, 13145, 1, https://octopart.com/click/track?ak=8308f058&sig=06ab03a&sid=459&ppid=39616169&vpid=114947866&ct=offers, 5, None, None, GBP, 0.57, 0.57, 0.57, 0.57, 0.240482
RS Components, 6737575, 7890, 5, https://octopart.com/click/track?ak=8308f058&sig=006a4e0&sid=10022&ppid=39616169&vpid=199015193&ct=offers, -, None, None, GBP, 0.64, 0.64, 0.64, 0.418, 0.418
Mouser, 649-75869-131LF, 7323, 1, https://octopart.com/click/track?ak=8308f058&sig=0e64419&sid=2401&ppid=39616169&vpid=115156826&ct=offers, -, None, None, GBP, 0.57, 0.57, 0.57, 0.57, 0.240681
RS Components, 1708783, 0, 100, https://octopart.com/click/track?c=1&ak=8308f058&sig=012fbe8&sid=10022&ppid=39616169&vpid=501054664&ct=offers, -, None, None, GBP, -, -, 0.308, 0.308, 0.308




Farnell, 2293757, 584, 10, https://octopart.com/click/track?ak=8308f058&sig=0983c8a&sid=819&ppid=90333940&vpid=474175491&ct=offers, -, None, None, GBP, -, -, -, 0.41, 0.41
Newark, 61AC3937, 8943, 100, https://octopart.com/click/track?ak=8308f058&sig=0335d9b&sid=2402&ppid=90333940&vpid=483641356&ct=offers, -, None, None, GBP, -, -, -, 0.28437, 0.28437
Newark, 62K8134, 728, 1, https://octopart.com/click/track?ak=8308f058&sig=07321e8&sid=2402&ppid=90333940&vpid=474120763&ct=offers, -, None, None, GBP, 0.59, 0.59, 0.59, 0.30047, 0.30047
Farnell, 2293757, 4928, 1, https://octopart.com/click/track?ak=8308f058&sig=02ba9e7&sid=819&ppid=86116671&vpid=450389528&ct=offers, -, None, None, GBP, -, -, -, 0.247, 0.247
Newark, 45Y9880, 4780, 1, https://octopart.com/click/track?ak=8308f058&sig=04b0566&sid=2402&ppid=86116671&vpid=445300956&ct=offers, -, None, None, GBP, 0.6, 0.6, 0.6, 0.3273, 0.3273
Newark, 62K8134, 899, 1, https://octopart.com/click/track?ak=8308f058&sig=09fc768&sid=2402&ppid=86116671&vpid=445300957&ct=offers, -, None, None, GBP, 0.56, 0.56, 0.56, 0.56, 0.247579

