Digi-Key, 535-9720-1-ND, 247334, 1, https://octopart.com/click/track?ak=8308f058&sig=003e11a&sid=459&ppid=12808281&vpid=34208370&ct=offers, 15, None, None, GBP, 0.39, 0.39, 0.2484, 0.2484, 0.2484
Digi-Key, 535-9720-6-ND, 247334, 1, https://octopart.com/click/track?ak=8308f058&sig=018f07c&sid=459&ppid=12808281&vpid=34208371&ct=offers, 15, None, None, GBP, 0.39, 0.39, 0.2484, 0.2484, 0.2484
Digi-Key, 535-9720-2-ND, 243000, 1000, https://octopart.com/click/track?ak=8308f058&sig=02d6a41&sid=459&ppid=12808281&vpid=33599226&ct=offers, 15, None, None, GBP, -, -, -, -, 0.166389
Farnell, 2672999, 6000, 1000, https://octopart.com/click/track?ak=8308f058&sig=04ccf24&sid=819&ppid=12808281&vpid=464712706&ct=offers, -, None, None, GBP, -, -, -, 0.248, 0.248
Mouser, 815-ABM3B-8.0-B2-T, 45931, 1, https://octopart.com/click/track?ak=8308f058&sig=06e95d0&sid=2401&ppid=12808281&vpid=37714686&ct=offers, -, None, None, GBP, 0.39, 0.39, 0.39, 0.39, 0.190159
Newark, 13AC8061, 6000, 1000, https://octopart.com/click/track?ak=8308f058&sig=078e58b&sid=2402&ppid=12808281&vpid=432486860&ct=offers, -, None, None, GBP, -, -, -, 0.61035, 0.61035
Newark, 44P2236, 2006, 1, https://octopart.com/click/track?ak=8308f058&sig=0fe41f9&sid=2402&ppid=12808281&vpid=36642516&ct=offers, -, None, None, GBP, 0.52, 0.52, 0.3427, 0.3427, 0.3427

RS Components, 1710282, 34660, 1000, https://octopart.com/click/track?ak=8308f058&sig=050fd49&sid=10022&ppid=12808281&vpid=468988902&ct=offers, -, None, None, GBP, -, -, -, 0.303, 0.303

RS Components, 1710644, 0, 10, https://octopart.com/click/track?c=1&ak=8308f058&sig=0e91f42&sid=10022&ppid=12808281&vpid=500992985&ct=offers, -, None, None, GBP, -, -, 0.243, 0.243, 0.243

