Digi-Key, DS1307ZN+-ND, 5920, 1, https://octopart.com/click/track?ak=8308f058&sig=021a523&sid=459&ppid=998963&vpid=33713357&ct=offers, 9, None, None, GBP, 2.84, 2.84, 2.84, 1.53864, 1.53864
Farnell, 2910068, 123, 1, https://octopart.com/click/track?ak=8308f058&sig=0913a65&sid=819&ppid=998963&vpid=495512628&ct=offers, -, None, None, GBP, 2.8, 2.8, 2.8, 1.52, 1.52
Mouser, 700-DS1307ZN, 2823, 1, https://octopart.com/click/track?ak=8308f058&sig=070cb9a&sid=2401&ppid=998963&vpid=37861927&ct=offers, -, None, None, GBP, 2.84, 2.84, 2.84, 2.84, 1.494674
Newark, 68AC5064, 123, 1, https://octopart.com/click/track?ak=8308f058&sig=083b3a4&sid=2402&ppid=998963&vpid=495776962&ct=offers, -, None, None, GBP, 3.07, 3.07, 1.5407, 1.5407, 1.5407
RS Components, 7327333P, 935, 30, https://octopart.com/click/track?ak=8308f058&sig=0501e49&sid=10022&ppid=998963&vpid=437501268&ct=offers, -, None, None, GBP, -, -, 2.55, 2.55, 2.55
RS Components, 7327333, 134, 1, https://octopart.com/click/track?ak=8308f058&sig=05e96a6&sid=10022&ppid=998963&vpid=199053574&ct=offers, -, None, None, GBP, 3.09, 3.09, 2.55, 2.55, 2.55

RS Components, 9235797, 0, 100, https://octopart.com/click/track?c=1&ak=8308f058&sig=09573c8&sid=10022&ppid=998963&vpid=255988515&ct=offers, -, None, None, GBP, -, -, 2.875, 2.875, 2.875



Digi-Key, DS1307ZN-ND, 0, -, https://octopart.com/click/track?ak=8308f058&sig=0e762e6&sid=459&ppid=2540603&vpid=33713360&ct=offers, 16, None, None, GBP, -, -, -, -, -



