Farnell, 2254401, 13000, 1000, https://octopart.com/click/track?ak=8308f058&sig=0b23b91&sid=819&ppid=2625908&vpid=139275462&ct=offers, -, None, None, GBP, -, -, -, 0.059, 0.059
RS Components, 5370461P, 48240, 10, https://octopart.com/click/track?ak=8308f058&sig=01cf5df&sid=10022&ppid=2625908&vpid=437552324&ct=offers, -, None, None, GBP, -, -, 0.09, 0.09, 0.09
RS Components, 5370461, 775, 5, https://octopart.com/click/track?ak=8308f058&sig=02b5c8a&sid=10022&ppid=2625908&vpid=227278739&ct=offers, -, None, None, GBP, 0.28, 0.28, 0.09, 0.09, 0.09
RS Components, 7478911, 0, 1000, https://octopart.com/click/track?c=1&ak=8308f058&sig=0687a68&sid=10022&ppid=2625908&vpid=199097108&ct=offers, -, None, None, GBP, -, -, -, 0.071, 0.071
Newark, 85Y4825, 25187, 1, https://octopart.com/click/track?ak=8308f058&sig=039778c&sid=2402&ppid=2625908&vpid=271839087&ct=offers, -, None, None, GBP, 0.3, 0.3, 0.0935, 0.0935, 0.0935





Digi-Key, PCE3791CT-ND, 40638, 1, https://octopart.com/click/track?ak=8308f058&sig=0eb5324&sid=459&ppid=39480994&vpid=115123573&ct=offers, 19, None, None, GBP, 0.33, 0.33, 0.1037, 0.1037, 0.1037
Digi-Key, PCE3791DKR-ND, 40638, 1, https://octopart.com/click/track?ak=8308f058&sig=0c15a0c&sid=459&ppid=39480994&vpid=115123574&ct=offers, 19, None, None, GBP, 0.33, 0.33, 0.1037, 0.1037, 0.1037
Digi-Key, PCE3791TR-ND, 40000, 1000, https://octopart.com/click/track?ak=8308f058&sig=0da6c7b&sid=459&ppid=39480994&vpid=115123575&ct=offers, 19, None, None, GBP, -, -, -, -, 0.056115
Mouser, 667-EEE-FK1C470UR, 19926, 1, https://octopart.com/click/track?ak=8308f058&sig=054e9c6&sid=2401&ppid=39480994&vpid=116121861&ct=offers, -, None, None, GBP, 0.3, 0.3, 0.3, 0.3, 0.064386

