Digi-Key, P750ACT-ND, 170136, 1, https://octopart.com/click/track?ak=8308f058&sig=0e52f22&sid=459&ppid=55423056&vpid=188063926&ct=offers, 52, None, None, GBP, 0.08, 0.08, 0.08, 0.00745, 0.00745
Digi-Key, P750ADKR-ND, 170136, 1, https://octopart.com/click/track?ak=8308f058&sig=071bc54&sid=459&ppid=55423056&vpid=188063927&ct=offers, 52, None, None, GBP, 0.08, 0.08, 0.08, 0.00745, 0.00745
Digi-Key, P750ATR-ND, 170000, 5000, https://octopart.com/click/track?ak=8308f058&sig=04d249c&sid=459&ppid=55423056&vpid=194149771&ct=offers, 52, None, None, GBP, -, -, -, -, 0.003842
Farnell, 2057698, 53586, 10, https://octopart.com/click/track?ak=8308f058&sig=0816c48&sid=819&ppid=55423056&vpid=139326986&ct=offers, -, None, None, GBP, -, -, -, 0.0136, 0.0136
Mouser, 667-ERJ-6GEYJ751V, 48232, 1, https://octopart.com/click/track?ak=8308f058&sig=07b5d34&sid=2401&ppid=55423056&vpid=191439741&ct=offers, -, None, None, GBP, 0.19, 0.19, 0.19, 0.19, 0.006134



Newark, 63W1329, 49136, 10, https://octopart.com/click/track?ak=8308f058&sig=0d432fc&sid=2402&ppid=55423056&vpid=265591778&ct=offers, -, None, None, GBP, -, -, -, 0.0092, 0.0092




