Digi-Key, MMBT3904LT1GOSDKR-N, 1434605, 1, https://octopart.com/click/track?ak=8308f058&sig=02b059f&sid=459&ppid=3280&vpid=1935351&ct=offers, 52, None, None, GBP, 0.12, 0.12, 0.12, 0.02346, 0.02346
Digi-Key, MMBT3904LT1GOSCT-ND, 1431815, 1, https://octopart.com/click/track?ak=8308f058&sig=0e6ef09&sid=459&ppid=3280&vpid=1517499&ct=offers, 52, None, None, GBP, 0.12, 0.12, 0.12, 0.02346, 0.02346
Digi-Key, MMBT3904LT1GOSTR-ND, 1431000, 3000, https://octopart.com/click/track?ak=8308f058&sig=0c6f294&sid=459&ppid=3280&vpid=1042263&ct=offers, 52, None, None, GBP, -, -, -, -, 0.010098
Farnell, 2317804, 15000, 3000, https://octopart.com/click/track?ak=8308f058&sig=07f9695&sid=819&ppid=3280&vpid=139246168&ct=offers, -, None, None, GBP, -, -, -, 0.0164, 0.0164
Mouser, 863-MMBT3904LT1G, 0, 1, https://octopart.com/click/track?c=1&ak=8308f058&sig=0efa450&sid=2401&ppid=3280&vpid=44862346&ct=offers, -, None, None, GBP, 0.1, 0.1, 0.1, 0.1, 0.013802
RS Components, 5450343, 0, 50, https://octopart.com/click/track?c=1&ak=8308f058&sig=06b7933&sid=10022&ppid=3280&vpid=199086378&ct=offers, -, None, None, GBP, -, -, 0.024, 0.024, 0.024
RS Components, 1032948, 0, 3000, https://octopart.com/click/track?c=1&ak=8308f058&sig=0b86401&sid=10022&ppid=3280&vpid=260657838&ct=offers, -, None, None, GBP, -, -, -, 0.016, 0.016
Newark, 83K0942, 15000, 3000, https://octopart.com/click/track?ak=8308f058&sig=037f8cd&sid=2402&ppid=3280&vpid=20602688&ct=offers, -, None, None, GBP, -, -, -, 0.05061, 0.05061









