Farnell, 2413790, 20000, 5000, https://octopart.com/click/track?ak=8308f058&sig=035d6be&sid=819&ppid=39799246&vpid=478819114&ct=offers, -, None, None, GBP, -, -, -, 0.0038, 0.0038
Farnell, 1799498, 4192, 1, https://octopart.com/click/track?ak=8308f058&sig=092a8af&sid=819&ppid=39799246&vpid=478819113&ct=offers, -, None, None, GBP, 0.01, 0.01, 0.0055, 0.0055, 0.0055
Farnell, 9233946, 180, 10, https://octopart.com/click/track?ak=8308f058&sig=0738e4b&sid=819&ppid=39799246&vpid=478819112&ct=offers, -, None, None, GBP, -, -, -, 0.0071, 0.0071
Digi-Key, 311-330ARCT-ND, 0, 1, https://octopart.com/click/track?ak=8308f058&sig=046cfca&sid=459&ppid=39799246&vpid=119996227&ct=offers, 29, None, None, GBP, 0.08, 0.08, 0.08, 0.00477, 0.00477
Digi-Key, 311-330ARDKR-ND, 0, 1, https://octopart.com/click/track?ak=8308f058&sig=0a1cff6&sid=459&ppid=39799246&vpid=119996230&ct=offers, 29, None, None, GBP, 0.08, 0.08, 0.08, 0.00477, 0.00477
Digi-Key, 311-330ARTR-ND, 0, 5000, https://octopart.com/click/track?ak=8308f058&sig=0f7756e&sid=459&ppid=39799246&vpid=119996233&ct=offers, 29, None, None, GBP, -, -, -, -, 0.002461
Mouser, 603-RC0805JR-07330R, 59447, 1, https://octopart.com/click/track?ak=8308f058&sig=06d42ba&sid=2401&ppid=39799246&vpid=116795768&ct=offers, -, None, None, GBP, 0.08, 0.08, 0.08, 0.08, 0.003067
Newark, 66R3661, 20000, 5000, https://octopart.com/click/track?ak=8308f058&sig=0dc43dd&sid=2402&ppid=39799246&vpid=115424448&ct=offers, -, None, None, GBP, -, -, -, -, 0.003067
Newark, 98K7749, 180, 10, https://octopart.com/click/track?ak=8308f058&sig=08db13a&sid=2402&ppid=39799246&vpid=479779135&ct=offers, -, None, None, GBP, -, -, -, 0.00537, 0.00537




