Digi-Key, 478-3278-1-ND, 7982, 1, https://octopart.com/click/track?ak=8308f058&sig=01b2690&sid=459&ppid=3806325&vpid=34025050&ct=offers, 15, None, None, GBP, 0.78, 0.78, 0.78, 0.28405, 0.28405
Digi-Key, 478-3278-6-ND, 7982, 1, https://octopart.com/click/track?ak=8308f058&sig=072777e&sid=459&ppid=3806325&vpid=34025051&ct=offers, 15, None, None, GBP, 0.78, 0.78, 0.78, 0.28405, 0.28405
Digi-Key, 478-3278-2-ND, 5000, 2500, https://octopart.com/click/track?ak=8308f058&sig=017a077&sid=459&ppid=3806325&vpid=33586672&ct=offers, 15, None, None, GBP, -, -, -, 0.22006, 0.22006
Farnell, 2690661, 7500, 2500, https://octopart.com/click/track?ak=8308f058&sig=0586a09&sid=819&ppid=3806325&vpid=454962062&ct=offers, -, None, None, GBP, -, -, -, -, 0.285
RS Components, 1349969, 2, 1, https://octopart.com/click/track?ak=8308f058&sig=08da262&sid=10022&ppid=3806325&vpid=447879884&ct=offers, -, None, None, GBP, 513.57, 513.57, 513.57, 513.57, 513.57
Mouser, 581-TAJR105K010R, 585, 1, https://octopart.com/click/track?ak=8308f058&sig=0049004&sid=2401&ppid=3806325&vpid=37764497&ct=offers, -, None, None, GBP, 0.73, 0.73, 0.73, 0.73, 0.208488

RS Components, 1355456, 0, 20, https://octopart.com/click/track?c=1&ak=8308f058&sig=01597dd&sid=10022&ppid=3806325&vpid=500987461&ct=offers, -, None, None, GBP, -, -, -, 0.312, 0.312
Newark, 18J9871, 20592, 5, https://octopart.com/click/track?ak=8308f058&sig=090895f&sid=2402&ppid=3806325&vpid=73972504&ct=offers, -, None, None, GBP, 0.73, 0.73, 0.73, 0.26291, 0.26291
Newark, 54J3758, 7500, 2500, https://octopart.com/click/track?ak=8308f058&sig=0054e1f&sid=2402&ppid=3806325&vpid=21484260&ct=offers, -, None, None, GBP, -, -, -, -, 0.216919




